id, author, latitude, longitude
491, Ray  J., 40.78637, -105.25693
492, McKenna  S. A., 35.08449, -106.65114
493, Waanders  B. van Bloemen, 35.08449, -106.65114
494, Marzouk  Y. M., -19.8, 32.78333
495, Horta  Sebastian, -20.28333, 30.66667
496, Defeo  Omar, -20.28333, 30.66667
497, Driscoll  Don A., -19.33417, 30.05945
498, Whitehead  Catherine A., -17.89028, 31.13833
499, Lazzari  Juliana, -19.33417, 30.05945
500, Grabowski  M., -19.45, 29.18333
501, Lessler  J., -19.45, 29.18333
502, Redd  A., -19.45, 29.18333
503, Bwanika  J., -19.45, 29.18333
504, Lutalo  T., -19.45, 29.18333
505, Nalugoda  F., -19.45, 29.18333
506, Kagaayi  J., -19.45, 29.18333
507, Serwadda  D., -19.45, 29.18333
508, Laeyendecker  O., -19.45, 29.18333
509, Wawer  M., -19.45, 29.18333
510, Gray  R., -19.45, 29.18333
511, Dey  Supravat, 18.0, 74.0
512, Das  Dibyendu, 18.0, 74.0
513, Rajesh  R., -24.53161, 29.34588
515, Codding  Brian F., -34.4394, 19.45615
516, Bird  Rebecca Bliege, -34.4394, 19.45615
517, Wodarz  Dominik, 42.66497, -105.30554
518, Hofacre  Andrew, 42.66497, -105.30554
519, Lau  John W., 42.66497, -105.30554
520, Sun  Zhiying, 42.66497, -105.30554
521, Fan  Hung, 42.66497, -105.30554
522, Komarova  Natalia L., 42.66497, -105.30554
523, Jacoby  David M. P., -18.65128, 29.802
524, Brooks  Edward J., -18.65128, 29.802
525, Croft  Darren P., -18.65128, 29.802
526, Sims  David W., -18.65128, 29.802
527, Cipriotti  Pablo A., 13.91139, -87.47389
528, Aguiar  Martin R., 13.91139, -87.47389
529, Wiegand  Thorsten, 51.34198, 12.37498
530, Paruelo  Jose M., 13.91139, -87.47389
531, Moura  Ariadne do Nascimento, -8.01175, -34.95291
532, do Nascimento  Emanuel Cardoso, -8.01175, -34.95291
533, Dantas  Enio Wocyli, -7.14838, -34.95068
534, Nishimura  Tamako, -31.59933, 18.93743
535, Honda  Hisao, 34.76667, 134.85
536, Takeichi  Masatoshi, -31.59933, 18.93743
543, Li  Chunjian, 30.72608, 108.67483
544, Martin  L. N., 13.91139, -87.47389
545, Dmitruk  P., 13.91139, -87.47389
546, Gomez  D. O., 13.91139, -87.47389
547, Holland  Daniel S., 47.60621, -122.33207
548, Herrera  Guillermo E., -18.23954, 30.05861
549, Monkkonen  Paavo, 22.28455, 114.1582
550, Wong  Kelvin, 22.28455, 114.1582
551, Begley  Jaclene, -23.41635, 27.55004
552, Henriot  Christian, -24.06441, 26.91678
553, Sandin  Stuart A., 32.84727, -117.2742
554, McNamara  Dylan E., 40.72272, -111.87521
555, Drewes  Annette D., 38.67935, -121.9683
556, Silbernagel  Janet, 38.67935, -121.9683
557, Robinson  Marguerite, 45.81977, 8.62143
558, Stilianakis  Nikolaos I., 49.5888, 11.00977
559, Drossinos  Yannis, 45.81977, 8.62143
560, Vardien  W., 0, 0
561, Richardson  D. M., 0, 0
562, Foxcroft  L. C., -24.96279, 31.58964
563, Wilson  J. R., -20.25646, 28.73957
564, Le Roux  J. J., 0, 0
565, Queiroz  Nuno, -17.78333, -149.28333
566, Humphries  Nicolas E., -18.65128, 29.802
567, Noble  Leslie R., -16.94387, 30.78994
568, Santos  Antonio M., -17.78333, -149.28333
569, Sims  David W., 45.03345, -63.86542
570, Zhang  Xiao-Chong, 24.0053, 120.5189
571, Sun  Gui-Quan, 24.0053, 120.5189
572, Jin  Zhen, 24.0053, 120.5189
573, Nielsdottir  Maria C., 45.03345, -63.86542
574, Bibby  Thomas S., 45.03345, -63.86542
575, Moore  C. Mark, 45.03345, -63.86542
576, Hinz  Dania J., 45.03345, -63.86542
578, Whitehouse  Michael, -19.8, 32.78333
579, Korb  Rebecca, -19.8, 32.78333
580, Achterberg  Eric P., 45.03345, -63.86542
581, Goncalves  Ana Cristina, 14.61183, 121.11357
582, Pommerening  Arne, 46.99423, 7.45242
583, Neeson  Thomas M., 42.27756, -83.74088
584, Wiley  Michael J., 42.27756, -83.74088
585, Adlerstein  Sara A., 42.27756, -83.74088
586, Riolo  Rick L., 42.27756, -83.74088
587, Leonova  E. I., 56.11095, 47.84875
588, Baranov  M. V., -24.19163, 31.08152
589, Galzitskaya  O. V., 56.11095, 47.84875
591, Salmon-Monviola  Jordy, 48.10343, -1.6723
592, Durand  Patrick, 48.10343, -1.6723
593, Ferchaud  Fabien, 13.4945, 121.8578
594, Oehler  Francois, -20.26614, 29.22116
595, Sorel  Luc, 48.10343, -1.6723
596, Yang  Fenglei, -22.46563, 28.93706
597, Li  Baomin, -22.46563, 28.93706
599, Sforzi  Fabio, -17.96667, 29.85
600, Mancini  Maria Cecilia, -17.96667, 29.85
601, De Reu  Jeroen, 41.86313, -76.43938
602, De Mulder  Guy, 41.86313, -76.43938
603, Van Strydonck  Mark, -23.37915, 29.14658
604, Boudin  Mathieu, -23.37915, 29.14658
605, Bourgeois  Jean, 41.86313, -76.43938
606, Leon  Luis F., -18.95, 32.18333
607, Smith  Ralph E. H., -18.95, 32.18333
608, Malkin  Sairah Y., -18.95, 32.18333
609, Depew  David, -18.95, 32.18333
610, Hipsey  Matthew R., -34.13333, 18.38333
611, Antenucci  Jason P., -34.13333, 18.38333
612, Higgins  Scott N., -18.95, 32.18333
613, Hecky  Robert E., -18.95, 32.18333
614, Rao  Ram Y., -24.63844, 31.19223
615, Niu  Tianchan, -23.48627, 29.36672
616, Gaff  Holly D., -17.93077, 31.6442
617, Papelis  Yiannis E., -17.93077, 31.6442
618, Hartley  David M., -18.61739, 29.8101
623, Johannesen  Edda, -27.17141, 30.66997
624, Lindstrom  Ulf, 69.66667, 19.0
625, Michalsen  Kathrine, -27.17141, 30.66997
626, Skern-Mauritzen  Mette, -27.17141, 30.66997
627, Fauchald  Per, 69.66667, 19.0
628, Bogstad  Bjarte, -27.17141, 30.66997
629, Dolgov  Andrey, 68.97917, 33.09251
630, Bogacheva  E. N., -24.19163, 31.08152
631, Dolgov  A. A., -24.19163, 31.08152
632, Chulichkov  A. L., -24.19163, 31.08152
633, Shishkov  A. V., -24.19163, 31.08152
634, Ksenofontov  A. L., -24.19163, 31.08152
635, Fedorova  N. V., -24.19163, 31.08152
636, Baratova  L. A., -24.19163, 31.08152
637, Baccour  Hatem, 47.80691, -110.84272
638, Slimani  Mohamed, 47.80691, -110.84272
639, Cudennec  Christophe, 47.00306, 1.68056
640, Niermann  B., -23.2861, 29.13964
641, Hemke  T., -23.2861, 29.13964
642, Babaeva  N. Y., 42.27756, -83.74088
643, Boeke  M., -23.2861, 29.13964
644, Kushner  M. J., 42.27756, -83.74088
645, Mussenbrock  T., -23.2861, 29.13964
646, Winter  J., -23.2861, 29.13964
647, Cox  Christian L., -17.91306, 31.09472
648, Boback  Scott M., -23.14354, 29.24251
